COUNTRY	LEAGUE	TEAM_NAME
England	Championship	Coventry City
Saudi Arabia	Division 1	Abha Club
Finland	Ykkonen	SalPa
South Korea	K3 league	Pocheon Citizen FC
Greece	Football League	Athens Kallithea FC
England	FA Cup	Fulham FC
Poland	1 Liga	Wieczysta Krakow
Guatemala	Liga Nacional Apertura	CSD Municipal
Brazil	Brasiliero Betano	Cruzeiro EC MG
England	FA Cup	Crystal Palace
Northern Ireland	IFA Championship	Limavady United FC
Greece	Super League	Panathinaikos Athens
Turkey	1. Lig	Erzurumspor
Peru	Liga 1	Sporting Cristal
Cyprus	Stoiximan	AEK Larnaca
Paraguay	Division Intermdia	Rubio Nu
Ireland	Premier Division	Bohemians Dublin FC
Austria	Bundesliga	FC Salzburg
Scotland	Championship	St. Johnstone FC
Poland	1 Liga	Wisla Krakow
Brazil	Brasiliero Betano	CR Flamengo RJ
England	Premier League	Man Utd
Ireland	First Division	Dundalk FC
Finland	Ykkosiliiga	FC Lahti
